ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ProtoVietic-1_1si-1,,ProtoVietic,1_1si,*soː,*soː,s oː,,Ferlus2017,1,,^ * s oː $,ProtoVietic
Vietnamese-1_1si-1,,Vietnamese,1_1si,tao / (tôi),tao,t aːu̯ ³³,,,2,,^tao $,Vietnamese
MuongBi-1_1si-1,,MuongBi,1_1si,ho,ho,h o,,,2,,^ h o $,MuongBi
NguonCL-1_1si-1,,NguonCL,1_1si,t'ɔ1,t'ɔ¹,t ɔ ¹,,Nguyen1997,2,,^ t 'ɔ ¹ $,NguonCL
NguonYT-1_1si-1,,NguonYT,1_1si,ʔuj1,ʔuj¹,ʔ u j ¹,,Nguyen1997,3,,^ ʔ u j ¹ $,NguonYT
CuoiThaiHoa-1_1si-1,,CuoiThaiHoa,1_1si,hɤ̆w32,hɤ̆w³²,h ɤ̆ w ³²,,,2,,^ h ɤ̆ w ³² $,CuoiThaiHoa
CuoiTanHop-1_1si-1,,CuoiTanHop,1_1si,hɤ̆w22,hɤ̆w²²,h ɤ̆ w ²²,,,2,,^ h ɤ̆ w ²² $,CuoiTanHop
Toum-1_1si-1,,Toum,1_1si,saw,saw,s a w,,Ferlus2017,2,,^ s a w $,Toum
Liha-1_1si-1,,Liha,1_1si,saw,saw,s a w,,Ferlus2017,2,,^ s a w $,Liha
Sach-1_1si-1,,Sach,1_1si,"[[ho, mèŋ]]",ho,h o,,Ferlus2007,2,,^ h o $,Sach
May-1_1si-1,,May,1_1si,ʔaho¹,ʔaho¹,ʔ a h o ¹,,Babaev2018,2,,^ ʔ a h o ¹ $,May
Ruc-1_1si-1,,Ruc,1_1si,ho,ho,h o,,Nguyen/Tran/Ferlus1998,2,,^ h o $,Ruc
Arem-1_1si-1,,Arem,1_1si,kɯ̆̀ʔ (<Katuic),kɯ̆̀ʔ,k ɯ̀̆/ɯ ʔ,,Kasuga2008,4,,^ k ɯ̆̀ ʔ $,Arem
ThavungS-1_1si-1,,ThavungS,1_1si,kân,kân,k â/a n,,Suwilai,5,,^ k â n $,ThavungS
ThavungPS-1_1si-1,,ThavungPS,1_1si,kân,kân,k â/a n,,Ferlus,5,,^ k â n $,ThavungPS
ThavungF-1_1si-1,,ThavungF,1_1si,kan3,kan³,k a n ³,,Ferlus1979,5,,^ k a n ³ $,ThavungF
Ahoe-1_1si-1,,Ahoe,1_1si,kan,kan,k a n,,Enfield2011,5,,^ k a n $,Ahoe
MaliengQB-1_1si-1,,MaliengQB,1_1si,aho,aho,a h o,,Samarinan.d.,2,,^ a h o $,MaliengQB
MaliengHT-1_1si-1,,MaliengHT,1_1si,aho˦,aho˦,a h o ⁴,,Samarinan.d.,2,,^ a h o ˦ $,MaliengHT
Pakatan-1_1si-1,,Pakatan,1_1si,ʔeŋ (?Lao reflexive),ʔeŋ,ʔ e ŋ,,NVlNHH2001,6,,^ ʔ e ŋ $,Pakatan
Malang-1_1si-1,,Malang,1_1si,pɔ:n˧,pɔ:n˧,p ɔː n ³,,Ferlus1997,7,,^ p ɔ: n ˧ $,Malang
MalengBro-1_1si-1,,MalengBro,1_1si,cak,cak,c a k,,Ferlus1992,8,,^ c a k $,MalengBro
Kri-1_1si-1,,Kri,1_1si,kɤ˧˦ˀ (<Katuic),kɤ˧˦ˀ,k ɤ ³⁴ˀ/³⁴,,Samarinan.d.,4,,^ k ɤ ˧˦ˀ $,Kri
KriPhoong-1_1si-1,,KriPhoong,1_1si,kɤ33? (<Katuic),kɤ³³?,k ɤ ³³ ʔ,,NguyeHH2019,4,,^ k ɤ ³³ ? $,KriPhoong
Khmu-1_1si-1,,Khmu,1_1si,ʔoʔ,ʔoʔ,ʔ o ʔ,,Premsrirat2002,9,,^ ʔ o ʔ $,Khmu
Jahai-1_1si-1,,Jahai,1_1si,jɛʔ,jɛʔ,j ɛ ʔ,,Burenhult2005,10,,^ j ɛ ʔ $,Jahai
ProtoVietic-2_2syou-1,,ProtoVietic,2_2syou,*miː,*miː,m iː,,Ferlus2017,11,,^ * m iː $,ProtoVietic
Vietnamese-2_2syou-1,,Vietnamese,2_2syou,mày,mày,m ai̯ ²¹,,,12,,^mày $,Vietnamese
MuongBi-2_2syou-1,,MuongBi,2_2syou,da,da,d a,,,13,,^ d a $,MuongBi
NguonCL-2_2syou-1,,NguonCL,2_2syou,jə̆w1,jə̆w¹,j ə̆ w ¹,,Nguyen1997,14,,^ j ə̆ w ¹ $,NguonCL
NguonYT-2_2syou-1,,NguonYT,2_2syou,zaw1,zaw¹,z a w ¹,,Nguyen1997,14,,^ z a w ¹ $,NguonYT
CuoiThaiHoa-2_2syou-1,,CuoiThaiHoa,2_2syou,mi33,mi³³,m i ³³,,,12,,^ m i ³³ $,CuoiThaiHoa
ThoLangLo-2_2syou-1,,ThoLangLo,2_2syou,məj² ( v! ),məj²,m ə j ²,,,12,,^ m ə j ² $,ThoLangLo
CuoiTanHop-2_2syou-1,,CuoiTanHop,2_2syou,mi54,mi⁵⁴,m i ⁵⁴,,,12,,^ m i ⁵⁴ $,CuoiTanHop
ThoCuoiCham-2_2syou-1,,ThoCuoiCham,2_2syou,miː²,miː²,m iː ²,,6.1,12,,^ m iː ² $,ThoCuoiCham
Phong-2_2syou-1,,Phong,2_2syou,miː,miː,m iː,,Ferlus2017,12,,^ m iː $,Phong
Toum-2_2syou-1,,Toum,2_2syou,mei,mei,m ei,,Ferlus2017,12,,^ m ei $,Toum
Liha-2_2syou-1,,Liha,2_2syou,məi,məi,m əi,,Ferlus2017,12,,^ m əi $,Liha
Sach-2_2syou-1,,Sach,2_2syou,[[mi]],mi,m i,,Ferlus2007,12,,^ m i $,Sach
May-2_2syou-1,,May,2_2syou,ʔami¹,ʔami¹,ʔ a m i ¹,,Babaev2018,12,,^ ʔ a m i ¹ $,May
Ruc-2_2syou-1,,Ruc,2_2syou,mi,mi,m i,,Nguyen/Tran/Ferlus1998,12,,^ m i $,Ruc
Arem-2_2syou-1,,Arem,2_2syou,mɯ̀i̯,mɯ̀i̯,m ɯ̀i̯/ɯi̯,,Kasuga2008,12,,^ m ɯ̀i̯ $,Arem
ThavungS-2_2syou-1,,ThavungS,2_2syou,thòw (mîː polite),thòw,tʰ òw/ou,,Suwilai,15,,^ th òw $,ThavungS
ThavungPS-2_2syou-1,,ThavungPS,2_2syou,mi1,mi¹,m i ¹,,Ferlus,12,,^ m i ¹ $,ThavungPS
ThavungF-2_2syou-1,,ThavungF,2_2syou,"thəw1, ʔəʔ1",thəw¹,tʰ ə w ¹,,Ferlus1979,15,,^ th ə w ¹ $,ThavungF
Ahoe-2_2syou-1,,Ahoe,2_2syou,mʊː,mʊː,m ʊː,,Enfield2011,12,,^ m ʊː $,Ahoe
MaliengQB-2_2syou-1,,MaliengQB,2_2syou,ami,ami,a m i,,Samarinan.d.,12,,^ a m i $,MaliengQB
MaliengHT-2_2syou-1,,MaliengHT,2_2syou,"amɤi̯˧˨, mi˧˨",amɤi̯˧˨,a m ɤi̯ ³²,,Samarinan.d.,12,,^ a m ɤi̯ ˧˨ $,MaliengHT
Pakatan-2_2syou-1,,Pakatan,2_2syou,căk,căk,c ă k,,NVlNHH2001,16,,^ c ă k $,Pakatan
Malang-2_2syou-1,,Malang,2_2syou,mi:-,mi:,m iː,,Ferlus1997,12,,^ m i: $,Malang
Kri-2_2syou-1,,Kri,2_2syou,"căk˧, mi˦˥",căk˧,c ă k ³,,Samarinan.d.,16,,^ c ă k ˧ $,Kri
KriPhoong-2_2syou-1,,KriPhoong,2_2syou,căk23,căk²³,c ă k ²³,,NguyeHH2019,16,,^ c ă k ²³ $,KriPhoong
Khmu-2_2syou-1,,Khmu,2_2syou,me: 'you (male)',me:'you',m eː 'you/ʔ j ou '/ʔ,,Premsrirat2002,12,,^ m e: 'you ' $,Khmu
Jahai-2_2syou-1,,Jahai,2_2syou,miʔ,miʔ,m i ʔ,,Burenhult2005,12,,^ m i ʔ $,Jahai
Vietnamese-3_3shesheit-1,,Vietnamese,3_3shesheit,nó / hắn,nó,n ɔː ⁴⁵,,,17,,^nó $,Vietnamese
MuongBi-3_3shesheit-1,,MuongBi,3_3shesheit,nả,nả,n ả/a,,,17,,^ n ả $,MuongBi
NguonCL-3_3shesheit-1,,NguonCL,3_3shesheit,nɔ3,nɔ³,n ɔ ³,,Nguyen1997,17,,^ n ɔ ³ $,NguonCL
CuoiThaiHoa-3_3shesheit-1,,CuoiThaiHoa,3_3shesheit,tɯɤ212,tɯɤ²¹²,t ɯɤ ²¹²,,,18,,^ t ɯɤ ²¹² $,CuoiThaiHoa
CuoiTanHop-3_3shesheit-1,,CuoiTanHop,3_3shesheit,nɤ̆m12,nɤ̆m¹²,n ɤ̆ m ¹²,,,19,,^ n ɤ̆ m ¹² $,CuoiTanHop
ThoCuoiCham-3_3shesheit-1,,ThoCuoiCham,3_3shesheit,han³,han³,h a n ³,,6.1,20,,^ h a n ³ $,ThoCuoiCham
Phong-3_3shesheit-1,,Phong,3_3shesheit,han,han,h a n,,Ferlus2017,20,,^ h a n $,Phong
Toum-3_3shesheit-1,,Toum,3_3shesheit,han,han,h a n,,Ferlus2017,20,,^ h a n $,Toum
Liha-3_3shesheit-1,,Liha,3_3shesheit,han,han,h a n,,Ferlus2017,20,,^ h a n $,Liha
May-3_3shesheit-1,,May,3_3shesheit,ʔahăn³,ʔahăn³,ʔ a h ă n ³,,Babaev2018,20,,^ ʔ a h ă n ³ $,May
Ruc-3_3shesheit-1,,Ruc,3_3shesheit,hắn,hắn,h ắ/a n,,Nguyen/Tran/Ferlus1998,20,,^ h ắ n $,Ruc
Arem-3_3shesheit-1,,Arem,3_3shesheit,unɛa̯ʔ,unɛa̯ʔ,u n ɛa̯ ʔ,,Kasuga2008,17,,^ u n ɛa̯ ʔ $,Arem
ThavungS-3_3shesheit-1,,ThavungS,3_3shesheit,sòw,sòw,s òw/ou,,Suwilai,21,,^ s òw $,ThavungS
ThavungPS-3_3shesheit-1,,ThavungPS,3_3shesheit,pin1,pin¹,p i n ¹,,Ferlus,22,,^ p i n ¹ $,ThavungPS
ThavungF-3_3shesheit-1,,ThavungF,3_3shesheit,piːn1,piːn¹,p iː n ¹,,Ferlus1979,22,,^ p iː n ¹ $,ThavungF
Pakatan-3_3shesheit-1,,Pakatan,3_3shesheit,hăn˧˦˧ˀ,hăn˧˦˧ˀ,h ă n ³⁴³ˀ/³⁴³,,NVlNHH2001,20,,^ h ă n ˧˦˧ˀ $,Pakatan
Malang-3_3shesheit-1,,Malang,3_3shesheit,han,han,h a n,,Ferlus1997,20,,^ h a n $,Malang
MalengBro-3_3shesheit-1,,MalengBro,3_3shesheit,pəan,pəan,p əa n,,Ferlus1992,22,,^ p əa n $,MalengBro
KriPhoong-3_3shesheit-1,,KriPhoong,3_3shesheit,hăn33ˀ,hăn³³ˀ,h ă n ³³ˀ/³³,,NguyeHH2019,20,,^ h ă n ³³ˀ $,KriPhoong
Khmu-3_3shesheit-1,,Khmu,3_3shesheit,gəː,gəː,g əː,,Premsrirat2002,23,,^ g əː $,Khmu
Jahai-3_3shesheit-1,,Jahai,3_3shesheit,ʔoʔ,ʔoʔ,ʔ o ʔ,,Burenhult2005,23,,^ ʔ o ʔ $,Jahai
ProtoVietic-4_ant-1,,ProtoVietic,4_ant,*gɛːnʔ / kɛːnʔ,*gɛːnʔ,g ɛː n ʔ,,Ferlus2017,24,,^ * g ɛː n ʔ $,ProtoVietic
Vietnamese-4_ant-1,,Vietnamese,4_ant,kiến,kiến,k iː ŋ ⁴⁵,,,25,,^kiến $,Vietnamese
MuongHB-4_ant-1,,MuongHB,4_ant,kiɛn³,kiɛn³,k i/j ɛ n ³,,,25,,^ k iɛ n ³ $,MuongHB
MuongSL-4_ant-1,,MuongSL,4_ant,kiɛn³,kiɛn³,k i/j ɛ n ³,,,25,,^ k iɛ n ³ $,MuongSL
MuongTH-4_ant-1,,MuongTH,4_ant,kiɛn³,kiɛn³,k i/j ɛ n ³,,,25,,^ k iɛ n ³ $,MuongTH
MuongBi-4_ant-1,,MuongBi,4_ant,kiển,kiển,k i ể/e n,,,25,,^ k i ể n $,MuongBi
NguonCL-4_ant-1,,NguonCL,4_ant,kien4,kien⁴,k i/j e n ⁴,,Nguyen1997,25,,^ k ie n ⁴ $,NguonCL
NguonYT-4_ant-1,,NguonYT,4_ant,kien4,kien⁴,k i/j e n ⁴,,Nguyen1997,25,,^ k ie n ⁴ $,NguonYT
CuoiThaiHoa-4_ant-1,,CuoiThaiHoa,4_ant,ɣɛn56,ɣɛn⁵⁶,ɣ ɛ n ⁵⁶/⁵⁵,,,25,,^ ɣ ɛ n ⁵⁶ $,CuoiThaiHoa
ThoLangLo-4_ant-1,,ThoLangLo,4_ant,ɣɛːn⁴,ɣɛːn⁴,ɣ ɛː n ⁴,,,25,,^ ɣ ɛː n ⁴ $,ThoLangLo
CuoiTanHop-4_ant-1,,CuoiTanHop,4_ant,kɛn31ʔ,kɛn³¹ʔ,k ɛ n ³¹ ʔ,,,25,,^ k ɛ n ³¹ ʔ $,CuoiTanHop
ThoCuoiCham-4_ant-1,,ThoCuoiCham,4_ant,kɛːn³,kɛːn³,k ɛː n ³,,6.1,25,,^ k ɛː n ³ $,ThoCuoiCham
Phong-4_ant-1,,Phong,4_ant,kɛːn,kɛːn,k ɛː n,,Ferlus2017,25,,^ k ɛː n $,Phong
Toum-4_ant-1,,Toum,4_ant,kɛːn,kɛːn,k ɛː n,,Ferlus2017,25,,^ k ɛː n $,Toum
Liha-4_ant-1,,Liha,4_ant,kɛːn,kɛːn,k ɛː n,,Ferlus2017,25,,^ k ɛː n $,Liha
Sach-4_ant-1,,Sach,4_ant,kèɛm⁴,kèɛm⁴,k è/e ɛ m ⁴,,Ferlus2007,25,,^ k è ɛ m ⁴ $,Sach
May-4_ant-1,,May,4_ant,kɛ̤m⁴,kɛ̤m⁴,k ɛ̤ m ⁴,,Babaev2018,25,,^ k ɛ̤ m ⁴ $,May
Ruc-4_ant-1,,Ruc,4_ant,kiẹm,kiẹm,k i ẹ/e m,,Nguyen/Tran/Ferlus1998,25,,^ k i ẹ m $,Ruc
Arem-4_ant-1,,Arem,4_ant,kie̯nʼ,kie̯nʼ,k ie̯ nʼ/nˀ,,Kasuga2008,25,,^ k ie̯ nʼ $,Arem
ThavungS-4_ant-1,,ThavungS,4_ant,kɛ̰̂ːn,kɛ̰̂ːn,k ɛ̰̂ː n,,Suwilai,25,,^ k ɛ̰̂ː n $,ThavungS
ThavungPS-4_ant-1,,ThavungPS,4_ant,kɛ̰̂ːn,kɛ̰̂ːn,k ɛ̰̂ː n,,Ferlus,25,,^ k ɛ̰̂ː n $,ThavungPS
ThavungF-4_ant-1,,ThavungF,4_ant,kɛːn2 / kɛːn³,kɛːn²,k ɛː n ²,,Ferlus1979,25,,^ k ɛː n ² $,ThavungF
Pakatan-4_ant-1,,Pakatan,4_ant,kḛn˧˦˧ˀ,kḛn˧˦˧ˀ,k ḛ n ³⁴³ˀ/³⁴³,,NVlNHH2001,25,,^ k ḛ n ˧˦˧ˀ $,Pakatan
MalengBro-4_ant-1,,MalengBro,4_ant,kəɲɨɘr˧,kəɲɨɘr˧,k ə ɲ ɨɘ r ³,,Ferlus1992,26,,^ k ə ɲ ɨɘ r ˧ $,MalengBro
KriPhoong-4_ant-1,,KriPhoong,4_ant,kaɲɤl33ˀ,kaɲɤl³³ˀ,k a ɲ ɤ l ³³ˀ/³³,,NguyeHH2019,26,,^ k a ɲ ɤ l ³³ˀ $,KriPhoong
Khmu-4_ant-1,,Khmu,4_ant,ʰmuːc,ʰmuːc,ʰm uː c,,Premsrirat2002,27,,^ ʰm uː c $,Khmu
Jahai-4_ant-1,,Jahai,4_ant,bit,bit,b i t,,Burenhult2005,28,,^ b i t $,Jahai
ProtoVietic-5_ashes-1,,ProtoVietic,5_ashes,*ɓuːɲ / *p-lɔː,*ɓuːɲ,ɓ uː ɲ,,Ferlus2017,29,,^ * ɓ uː ɲ $,ProtoVietic
Vietnamese-5_ashes-1,,Vietnamese,5_ashes,tro,tro,ʈ ɔː ³³,,,30,,^tro $,Vietnamese
MuongHB-5_ashes-1,,MuongHB,5_ashes,puːɲ¹,puːɲ¹,p uː ɲ ¹,,,31,,^ p uː ɲ ¹ $,MuongHB
MuongSL-5_ashes-1,,MuongSL,5_ashes,buːɲ¹,buːɲ¹,b uː ɲ ¹,,,31,,^ b uː ɲ ¹ $,MuongSL
MuongTH-5_ashes-1,,MuongTH,5_ashes,vuːɲ¹,vuːɲ¹,v uː ɲ ¹,,,31,,^ v uː ɲ ¹ $,MuongTH
MuongBi-5_ashes-1,,MuongBi,5_ashes,bunh,bunh,b u nh/nʰ,,,31,,^ b u nh $,MuongBi
NguonCL-5_ashes-1,,NguonCL,5_ashes,vun1,vun¹,v u n ¹,,Nguyen1997,31,,^ v u n ¹ $,NguonCL
CuoiThaiHoa-5_ashes-1,,CuoiThaiHoa,5_ashes,ʈɔ-32,ʈɔ³²,ʈ ɔ ³²,,,30,,^ ʈ ɔ ³² $,CuoiThaiHoa
ThoLangLo-5_ashes-1,,ThoLangLo,5_ashes,ʈɔː¹,ʈɔː¹,ʈ ɔː ¹,,,30,,^ ʈ ɔː ¹ $,ThoLangLo
CuoiTanHop-5_ashes-1,,CuoiTanHop,5_ashes,plɒ22 / bun22,plɒ²²,p l ɒ ²²,,,30,,^ p l ɒ ²² $,CuoiTanHop
ThoCuoiCham-5_ashes-1,,ThoCuoiCham,5_ashes,plɒː¹,plɒː¹,p l ɒː ¹,,6.1,30,,^ p l ɒː ¹ $,ThoCuoiCham
Phong-5_ashes-1,,Phong,5_ashes,buːn,buːn,b uː n,,Ferlus2017,31,,^ b uː n $,Phong
Toum-5_ashes-1,,Toum,5_ashes,buːɲ,buːɲ,b uː ɲ,,Ferlus2017,31,,^ b uː ɲ $,Toum
Liha-5_ashes-1,,Liha,5_ashes,buːɲ,buːɲ,b uː ɲ,,Ferlus2017,31,,^ b uː ɲ $,Liha
LihaNVL-5_ashes-1,,LihaNVL,5_ashes,bɔn.43  bɔn.33,bɔn.⁴³bɔn.³³,b ɔ n ⁴³ b ɔ n ³³,,Peiros2004/LVH,31,,^ b ɔ n . ⁴³ b ɔ n . ³³ $,LihaNVL
May-5_ashes-1,,May,5_ashes,tapɛh¹,tapɛh¹,t a p ɛ h ¹,,Babaev2018,32,,^ t a p ɛ h ¹ $,May
Ruc-5_ashes-1,,Ruc,5_ashes,tăpɛh,tăpɛh,t ă p ɛ h,,Nguyen/Tran/Ferlus1998,32,,^ t ă p ɛ h $,Ruc
Arem-5_ashes-1,,Arem,5_ashes,ʈɤ̀ː,ʈɤ̀ː,ʈ ɤ̀ː/ɤː,,Kasuga2008,30,,^ ʈ ɤ̀ː $,Arem
ThavungS-5_ashes-1,,ThavungS,5_ashes,katun bûːn,katunbûːn,k a t u n b ûː/uː n,,Suwilai,31,,^ k a t u n b ûː n $,ThavungS
ThavungPS-5_ashes-1,,ThavungPS,5_ashes,katun bûːn,katunbûːn,k a t u n b ûː/uː n,,Ferlus,31,,^ k a t u n b ûː n $,ThavungPS
ThavungF-5_ashes-1,,ThavungF,5_ashes,buːɲ3,buːɲ³,b uː ɲ ³,,Ferlus1979,31,,^ b uː ɲ ³ $,ThavungF
Ahoe-5_ashes-1,,Ahoe,5_ashes,ɓuːɲ,ɓuːɲ,ɓ uː ɲ,,Enfield2011,31,,^ ɓ uː ɲ $,Ahoe
MaliengQB-5_ashes-1,,MaliengQB,5_ashes,tapɛʰ kul,tapɛʰkul,t a p ɛ̤ k u l,,Samarinan.d.,32,,^ t a p ɛʰ k u l $,MaliengQB
MaliengHT-5_ashes-1,,MaliengHT,5_ashes,tapɛʰ˦ ku˧˦ˀ,tapɛʰ˦ku˧˦ˀ,t a p ɛ̤ ⁴ k u ³⁴ˀ/³⁴,,Samarinan.d.,32,,^ t a p ɛʰ ˦ k u ˧˦ˀ $,MaliengHT
Pakatan-5_ashes-1,,Pakatan,5_ashes,buɳ˧,buɳ˧,b u ɳ ³,,NVlNHH2001,31,,^ b u ɳ ˧ $,Pakatan
Malang-5_ashes-1,,Malang,5_ashes,bu:ɲ˧,bu:ɲ˧,b uː ɲ ³,,Ferlus1997,31,,^ b u: ɲ ˧ $,Malang
MalengBro-5_ashes-1,,MalengBro,5_ashes,bu:ɲ˧,bu:ɲ˧,b uː ɲ ³,,Ferlus1992,31,,^ b u: ɲ ˧ $,MalengBro
Kri-5_ashes-1,,Kri,5_ashes,buiɲ˧˦,buiɲ˧˦,b ui ɲ ³⁴,,Samarinan.d.,31,,^ b ui ɲ ˧˦ $,Kri
KriPhoong-5_ashes-1,,KriPhoong,5_ashes,buɲ23,buɲ²³,b u ɲ ²³,,NguyeHH2019,31,,^ b u ɲ ²³ $,KriPhoong
Khmu-5_ashes-1,,Khmu,5_ashes,bɔh,bɔh,b ɔ h,,Premsrirat2002,33,,^ b ɔ h $,Khmu
Jahai-5_ashes-1,,Jahai,5_ashes,ʔabuʔ (<Malay),ʔabuʔ,ʔ a b u ʔ,,Burenhult2005,34,,^ ʔ a b u ʔ $,Jahai
ProtoVietic-6_backofbody-1,,ProtoVietic,6_backofbody,*k-ləŋ,*kləŋ,k l ə ŋ,,Ferlus2017,35,,^ * k l ə ŋ $,ProtoVietic
Vietnamese-6_backofbody-1,,Vietnamese,6_backofbody,lưng,lưng,l ɨ ŋ ³³,,,36,,^lưng $,Vietnamese
MuongHB-6_backofbody-1,,MuongHB,6_backofbody,lɨŋ¹,lɨŋ¹,l ɨ ŋ ¹,,,36,,^ l ɨ ŋ ¹ $,MuongHB
MuongSL-6_backofbody-1,,MuongSL,6_backofbody,ləŋ¹,ləŋ¹,l ə ŋ ¹,,,36,,^ l ə ŋ ¹ $,MuongSL
MuongBi-6_backofbody-1,,MuongBi,6_backofbody,lâng,lâng,l â/a n g,,,36,,^ l â n g $,MuongBi
NguonCL-6_backofbody-1,,NguonCL,6_backofbody,lɨŋ1,lɨŋ¹,l ɨ ŋ ¹,,Nguyen1997,36,,^ l ɨ ŋ ¹ $,NguonCL
CuoiThaiHoa-6_backofbody-1,,CuoiThaiHoa,6_backofbody,lɯ̆ŋ32,lɯ̆ŋ³²,l ɯ̆ ŋ ³²,,,36,,^ l ɯ̆ ŋ ³² $,CuoiThaiHoa
ThoLangLo-6_backofbody-1,,ThoLangLo,6_backofbody,lʌŋ¹,lʌŋ¹,l ʌ ŋ ¹,,,36,,^ l ʌ ŋ ¹ $,ThoLangLo
CuoiTanHop-6_backofbody-1,,CuoiTanHop,6_backofbody,khʂɔŋ12,khʂɔŋ¹²,kʰ ʂ ɔ ŋ ¹²,,,37,,^ khʂ ɔ ŋ ¹² $,CuoiTanHop
Phong-6_backofbody-1,,Phong,6_backofbody,kʰlɨŋ,kʰlɨŋ,kʰ l ɨ ŋ,,Ferlus2017,36,,^ kʰ l ɨ ŋ $,Phong
Toum-6_backofbody-1,,Toum,6_backofbody,lʌŋ,lʌŋ,l ʌ ŋ,,Ferlus2017,36,,^ l ʌ ŋ $,Toum
Liha-6_backofbody-1,,Liha,6_backofbody,lɔŋ,lɔŋ,l ɔ ŋ,,Ferlus2017,36,,^ l ɔ ŋ $,Liha
Sach-6_backofbody-1,,Sach,6_backofbody,nuːl⁴,nuːl⁴,n uː l ⁴,,Ferlus2007,38,,^ n uː l ⁴ $,Sach
May-6_backofbody-1,,May,6_backofbody,nul⁴,nul⁴,n u l ⁴,,Babaev2018,38,,^ n u l ⁴ $,May
Ruc-6_backofbody-1,,Ruc,6_backofbody,nuól ~ nụl,nuól,n u ó/o l,,Nguyen/Tran/Ferlus1998,38,,^ n u ó l $,Ruc
Arem-6_backofbody-1,,Arem,6_backofbody,roŋʼ (spine),roŋʼ,r o ŋʼ/ŋˀ,,Kasuga2008,37,,^ r o ŋʼ $,Arem
ThavungS-6_backofbody-1,,ThavungS,6_backofbody,kɔ̂ːŋ,kɔ̂ːŋ,k ɔ̂ː/ɔː ŋ,,Suwilai,39,,^ k ɔ̂ː ŋ $,ThavungS
ThavungPS-6_backofbody-1,,ThavungPS,6_backofbody,kɔ̂ːŋ,kɔ̂ːŋ,k ɔ̂ː/ɔː ŋ,,Ferlus,39,,^ k ɔ̂ː ŋ $,ThavungPS
ThavungF-6_backofbody-1,,ThavungF,6_backofbody,kɔːŋ1,kɔːŋ¹,k ɔː ŋ ¹,,Ferlus1979,39,,^ k ɔː ŋ ¹ $,ThavungF
Pakatan-6_backofbody-1,,Pakatan,6_backofbody,takɒŋ˧,takɒŋ˧,t a k ɒ ŋ ³,,NVlNHH2001,39,,^ t a k ɒ ŋ ˧ $,Pakatan
MalengBro-6_backofbody-1,,MalengBro,6_backofbody,turɔŋ˧,turɔŋ˧,t u r ɔ ŋ ³,,Ferlus1992,37,,^ t u r ɔ ŋ ˧ $,MalengBro
KriPhoong-6_backofbody-1,,KriPhoong,6_backofbody,takɔŋ323 / kil33ʔ,takɔŋ³²³,t a k ɔ ŋ ³²³,,NguyeHH2019,39,,^ t a k ɔ ŋ ³²³ $,KriPhoong
Khmu-6_backofbody-1,,Khmu,6_backofbody,kndrɔːŋ,kndrɔːŋ,k n d r ɔː ŋ,,Premsrirat2002,37,,^ k n d r ɔː ŋ $,Khmu
Jahai-6_backofbody-1,,Jahai,6_backofbody,krɔʔ,krɔʔ,k r ɔ ʔ,,Burenhult2005,40,,^ k r ɔ ʔ $,Jahai
ProtoVietic-7_barkoftree-1,,ProtoVietic,7_barkoftree,*-pɔh / *k-ɗoːk,*pɔh,p ɔ h,,Ferlus2017,41,,^ * p ɔ h $,ProtoVietic
Vietnamese-7_barkoftree-1,,Vietnamese,7_barkoftree,vỏ,vỏ,v ɔː ²¹⁴,,,42,,^vỏ $,Vietnamese
MuongHB-7_barkoftree-1,,MuongHB,7_barkoftree,pɔː⁵,pɔː⁵,p ɔː ⁵,,,42,,^ p ɔː ⁵ $,MuongHB
MuongSL-7_barkoftree-1,,MuongSL,7_barkoftree,pɔː⁵,pɔː⁵,p ɔː ⁵,,,42,,^ p ɔː ⁵ $,MuongSL
MuongTH-7_barkoftree-1,,MuongTH,7_barkoftree,bɔː⁴⁶,bɔː⁴⁶,b ɔː ⁴⁶/⁴⁵,,,42,,^ b ɔː ⁴⁶ $,MuongTH
MuongBi-7_barkoftree-1,,MuongBi,7_barkoftree,pọ,pọ,p ọ/o,,,42,,^ p ọ $,MuongBi
NguonCL-7_barkoftree-1,,NguonCL,7_barkoftree,pɔ6,pɔ⁶,p ɔ ⁶/⁵¹,,Nguyen1997,42,,^ p ɔ ⁶ $,NguonCL
NguonYT-7_barkoftree-1,,NguonYT,7_barkoftree,bɔ6,bɔ⁶,b ɔ ⁶/⁵¹,,Nguyen1997,42,,^ b ɔ ⁶ $,NguonYT
CuoiThaiHoa-7_barkoftree-1,,CuoiThaiHoa,7_barkoftree,vuɔ212,vuɔ²¹²,v u/w ɔ ²¹²,,,42,,^ v uɔ ²¹² $,CuoiThaiHoa
