Grapheme	IPA	Frequency	Codepoints
⁶	⁶/⁵¹	15	U+2076
pʰ	pʰ	14	U+0070 U+02b0
˧˨	³²	13	U+02e7 U+02e8
ɣ	ɣ	13	U+0263
ûː	ûː/uː	13	U+00fb U+02d0
ɔ̂ː	ɔ̂ː/ɔː	13	U+0254 U+0302 U+02d0
ỏ	ỏ/o	13	U+1ecf
ɑ̆	ɑ̆	13	U+0251 U+0306
o:	oː	13	U+006f U+003a
ɨa	ɨa	13	U+0268 U+0061
ǎ	ǎ/a	13	U+01ce
'	'/ʔ	12	U+0027
ie	i/j e	12	U+0069 U+0065
nh	nh/nʰ	12	U+006e U+0068
ɗ	ɗ	12	U+0257
³⁴	³⁴	12	U+00b3 U+2074
ɨə	ɨə	12	U+0268 U+0259
ɔ̰̂ː	ɔ̰̂ː/ɔː	12	U+0254 U+0330 U+0302 U+02d0
îː	îː/iː	12	U+00ee U+02d0
³²⁴	³²⁴	12	U+00b3 U+00b2 U+2074
y	y	11	U+0079
ɑː	ɑː	11	U+0251 U+02d0
tɕ	tɕ	11	U+0074 U+0255
â̰ː	â̰ː/aː	11	U+00e2 U+0330 U+02d0
ṵ̂ː	ṵ̂ː/uː	11	U+1e75 U+0302 U+02d0
ɟ	ɟ	11	U+025f
aə	aə	11	U+0061 U+0259
uo	u/w o	11	U+0075 U+006f
ò	ò/o	11	U+00f2
H	H/h	11	U+0048
ao	ao	10	U+0061 U+006f
ɤi̯	ɤi̯	10	U+0264 U+0069 U+032f
ɛa̯	ɛa̯	10	U+025b U+0061 U+032f
ư	ư/u	10	U+01b0
ɔo	ɔo	10	U+0254 U+006f
ʃ	ʃ	10	U+0283
²⁴	²⁴	10	U+00b2 U+2074
a̤	a̤	10	U+0061 U+0324
_᷄	+	10	U+005f U+1dc4
ɒː	ɒː	9	U+0252 U+02d0
x	x	9	U+0078
ɔi̯	ɔi̯	9	U+0254 U+0069 U+032f
ì	ì/i	9	U+00ec
ə:	əː	9	U+0259 U+003a
ʂ	ʂ	9	U+0282
ả	ả/a	8	U+1ea3
²¹²	²¹²	8	U+00b2 U+00b9 U+00b2
⁵⁶	⁵⁶/⁵⁵	8	U+2075 U+2076
ɳ	ɳ	8	U+0273
û	û/u	8	U+00fb
ĭ	ĭ	8	U+012d
ph	pʰ	8	U+0070 U+0068
ɛ:	ɛː	8	U+025b U+003a
ʑ	ʑ	8	U+0291
ố	ó/o	8	U+1ed1
ai̯	ai̯	8	U+0061 U+0069 U+032f
âː	âː/a:	8	U+00e2 U+02d0
ŏ	ŏ	8	U+014f
əi	əi	7	U+0259 U+0069
i:	iː	7	U+0069 U+003a
əa	əa	7	U+0259 U+0061
iɛ	i/j ɛ	7	U+0069 U+025b
é	é/e	7	U+00e9
ầ	ầ/a	7	U+1ea7
ủ	ủ/u	7	U+1ee7
ôː	ôː/o:	7	U+00f4 U+02d0
ɨ̂ː	ɨ̂ː/ɨ:	7	U+0268 U+0302 U+02d0
ay	ay/ai	7	U+0061 U+0079
ʌ̰̂ː	ʌ̰̂ː/ʌː	7	U+028c U+0330 U+0302 U+02d0
ô	ô/o	7	U+00f4
_$	NULL
^_	NULL
ʄ	ʄ	7	U+0284
ù	ù/u	7	U+00f9
ɐː	ɐː	7	U+0250 U+02d0
ạ	ạ/a	7	U+1ea1
ei	ei	6	U+0065 U+0069
e:	eː	6	U+0065 U+003a
kᵊ	k ᵊ/ə + 	6	U+006b U+1d4a
ɔ̰	ɔ̰	6	U+0254 U+0330
ʰr	ʰr	6	U+02b0 U+0072
ẩm	ẩ/a m
mʼ	mʼ/mˀ	6	U+006d U+02bc
â̰	â̰/a	6	U+00e2 U+0330
lʰ	lʰ	6	U+006c U+02b0
ʊ	ʊ	6	U+028a
ơ	ơ/o	6	U+01a1
ə́	ə́/ə	6	U+0259 U+0301
'ă	ă	6	U+0027 U+0103
jʰ	jʰ	6	U+006a U+02b0
i̯	i̯/i	6	U+0069 U+032f
ʌː	ʌː	6	U+028c U+02d0
ɛ́	ɛ́/ɛ	6	U+025b U+0301
ɯɤ	ɯɤ	5	U+026f U+0264
ắ	ắ/a	5	U+1eaf
ɬ	ɬ	5	U+026c
˩	˩/¹	5	U+02e9
ǎ́	á/a	5	U+01ce U+0301
lʼ	lʼ/lˀ	5	U+006c U+02bc
ks	k s	5	U+006b U+0073
ɛ̂ː	ɛ̂ː/ɛ	5	U+025b U+0302 U+02d0
ấ	ấ/a	5	U+1ea5
ʰl	ʰl	5	U+02b0 U+006c
ʐ	ʐ	5	U+0290
_᷅	+	5	U+005f U+1dc5
ɔ̀	ɔ̀/ɔ	5	U+0254 U+0300
ɔ̀ː	ɔ̀ː/ɔː	5	U+0254 U+0300 U+02d0
ʒ	ʒ	5	U+0292
ế	ế/e	4	U+1ebf
ʰm	ʰm	4	U+02b0 U+006d
ui	ui	4	U+0075 U+0069
khʂ	kʰ ʂ	4	U+006b U+0068 U+0282
ŋʼ	ŋʼ/ŋˀ	4	U+014b U+02bc
ọ	ọ/o	4	U+1ecd
ộ	ộ/o	4	U+1ed9
ou	ou	4	U+006f U+0075
XX	NULL	4	U+0058 U+0058
ṵ	ṵ	4	U+1e75
ɤ́	ɤ́/ɤ	4	U+0264 U+0301
n̩	n̩	4	U+006e U+0329
o̻	o̻/o	4	U+006f U+033b
ai	ai	4	U+0061 U+0069
ă̤	ă̤/a	4	U+0103 U+0324
ɪ	ɪ	4	U+026a
jh	jh/dʒʰ	4	U+006a U+0068
oɔ	oɔ	4	U+006f U+0254
't	t	4	U+0027 U+0074
ɔ̆	ɔ̆	4	U+0254 U+0306
lᵊ	l ᵊ/ə +	4	U+006c U+1d4a
ð	ð	4	U+00f0
ũ	ũ	4	U+0169
kw	kʷ	4	U+006b U+0077
ʊː	ʊː	3	U+028a U+02d0
ie̯	ie̯	3	U+0069 U+0065 U+032f
ɛ̰̂ː	ɛ̰̂ː	3	U+025b U+0330 U+0302 U+02d0
__	+	3	U+005f U+005f
'a	a	3	U+0027 U+0061
ớ	ớ/o	3	U+1edb
ở	ở/o	3	U+1edf
mᵊ	mᵊ	3	U+006d U+1d4a
ǎ͗	ǎ͗/a	3	U+01ce U+0357
iə	i/j ə	3	U+0069 U+0259
ĩ	ĩ	3	U+0129
ổ	ổ/o	3	U+1ed5
ê	ê/e	3	U+00ea
˦˧	⁴³	3	U+02e6 U+02e7
˥	⁵	3	U+02e5
ɛ̃	ɛ̃	3	U+025b U+0303
e̯	e̯/e	3	U+0065 U+032f
χ	χ	3	U+03c7
ǎ̀	à/a	3	U+01ce U+0300
ứ	ứ/u	3	U+1ee9
˧ˀ	³ˀ/³	3	U+02e7 U+02c0
ʌ̆́	ʌ́̆/ʌ	3	U+028c U+0306 U+0301
ằ	ằ/a	3	U+1eb1
ŭh	ŭh/u	3	U+016d U+0068
˦˥	⁴⁵	3	U+02e6 U+02e5
ç	ç	3	U+00e7
ui̯	ui̯	3	U+0075 U+0069 U+032f
ʌ̤̀	ʌ̤̀	3	U+028c U+0324 U+0300
N	NULL	3	U+004e
A	NULL	3	U+0041
ɛe	ɛe	3	U+025b U+0065
ɔ̻	ɔ̻/ɔ	3	U+0254 U+033b
ặ	ặ/a	3	U+1eb7
uə	u/w ə	3	U+0075 U+0259
⁴²⁴	⁴²⁴	3	U+2074 U+00b2 U+2074
ồ	ồ/o	3	U+1ed3
ɔ̻ː	ɔ̻ː/ɔː	3	U+0254 U+033b U+02d0
ae	ae	3	U+0061 U+0065
ờ	ờ/o	3	U+1edd
ʌ̆̀	ʌ̀̆/ʌ	3	U+028c U+0306 U+0300
ə̀a	ə̀a/əa	3	U+0259 U+0300 U+0061
æ̃	æ̃	3	U+00e6 U+0303
ɔ̂	ɔ̂/ɔ	3	U+0254 U+0302
aɛ	aɛ	3	U+0061 U+025b
δ	δ/ð	3	U+03b4
òw	òw/ou	2	U+00f2 U+0077
ể	ể/e	2	U+1ec3
ẹ	ẹ/e	2	U+1eb9
nʼ	nʼ/nˀ	2	U+006e U+02bc
ḛ	ḛ	2	U+1e1b
ɤ̀ː	ɤ̀ː/ɤː	2	U+0264 U+0300 U+02d0
ɛʰ	ɛ̤	2	U+025b U+02b0
uɔ	u/w ɔ	2	U+0075 U+0254
oa	oa	2	U+006f U+0061
ăh	ăh/a	2	U+0103 U+0068
'sh	'sh/ˀsʰ	2	U+0027 U+0073 U+0068
ɯ́	ɯ́/ɯ	2	U+026f U+0301
oi	oi	2	U+006f U+0069
'i	i	2	U+0027 U+0069
ɤ̤̆	ɤ̤̆	2	U+0264 U+0324 U+0306
ɛ̆	ɛ̆	2	U+025b U+0306
ɪː	ɪː	2	U+026a U+02d0
ɐ̀	ɐ̀/ɐ	2	U+0250 U+0300
ẳ	ẳ/a	2	U+1eb3
'o	o	2	U+0027 U+006f
'u	u	2	U+0027 U+0075
⁴³⁴	⁴³⁴	2	U+2074 U+00b3 U+2074
ɔ̣	ɔ̣/ɔ	2	U+0254 U+0323
áy	áy/ai	2	U+00e1 U+0079
mʰ	mʰ	2	U+006d U+02b0
ɔ̉	ɔ̉/ɔ	2	U+0254 U+0309
aːi̯	aːi̯	2	U+0061 U+02d0 U+0069 U+032f
ɨ̰̂ː	ɨ̰̂ː/ɨː	2	U+0268 U+0330 U+0302 U+02d0
ỡ	ỡ/õ	2	U+1ee1
mm	mː	2	U+006d U+006d
ɤ̀	ɤ̀/ɤ	2	U+0264 U+0300
˧˨ˀ	³²ˀ/³²	2	U+02e7 U+02e8 U+02c0
ɤ̰	ɤ̰	2	U+0264 U+0330
úi	úi/ui	2	U+00fa U+0069
l̥	l̥	2	U+006c U+0325
a̰	a̰	2	U+0061 U+0330
ị	ị/i	2	U+1ecb
ɛ̂	ɛ̂/ɛ	2	U+025b U+0302
ɨː	ɨː	2	U+0268 U+02d0
ə̻	ə̻/ə	2	U+0259 U+033b
o̤	o̤	2	U+006f U+0324
ɔ̤̂ː	ɔ̤̂ː/ɔ̤ː	2	U+0254 U+0324 U+0302 U+02d0
ɒ̆	ɒ̆	2	U+0252 U+0306
C	NULL	2	U+0043
o̻:	o̻ː/oː	2	U+006f U+033b U+003a
ɫ	lˠ	2	U+026b
ĭh	ĭh/i	2	U+012d U+0068
o̯	o̯/o	2	U+006f U+032f
ua	u/w a	2	U+0075 U+0061
kᶤ	k ᶤ/ɨ +	2	U+006b U+1da4
ɤ̆i̯	ɤ̆i̯	2	U+0264 U+0306 U+0069 U+032f
f	f	2	U+0066
ệ	ệ/e	2	U+1ec7
phʂ	pʰ ʂ	2	U+0070 U+0068 U+0282
î	î/i	2	U+00ee
ɔɑ	ɔɑ	2	U+0254 U+0251
ɨ́	ɨ́/ɨ	2	U+0268 U+0301
ʌ̀ː	ʌ̀ː/ʌː	2	U+028c U+0300 U+02d0
ɤ́i̯	ɤ́i̯/ɤi̯	2	U+0264 U+0301 U+0069 U+032f
ũi	ũi	2	U+0169 U+0069
ɯ̀	ɯ̀/ɯ	2	U+026f U+0300
ɜ	ɜ	2	U+025c
ɒːi̯ʼ	ɒːi̯ʼ/ɒːi̯	2	U+0252 U+02d0 U+0069 U+032f U+02bc
ái	ái/ai	2	U+00e1 U+0069
âw	âw/au	2	U+00e2 U+0077
ɤa	ɤa	2	U+0264 U+0061
sᵊ	s ᵊ/ə +	2	U+0073 U+1d4a
⁰	⁰	2	U+2070
ʌ̆	ʌ̆	2	U+028c U+0306
ḭ̂ː	ḭ̂ː/ḭː	2	U+1e2d U+0302 U+02d0
ɨ̂	ɨ̂/ɨ	2	U+0268 U+0302
u̯	u̯/u	2	U+0075 U+032f
ia	i/j a	2	U+0069 U+0061
ɤi	ɤi	2	U+0264 U+0069
ʌ̂ː	ʌ̂ː/ʌː	2	U+028c U+0302 U+02d0
ṵ̂	ṵ̂/ṵ	2	U+1e75 U+0302
'ɔ	ɔ	1	U+0027 U+0254
ɯ̆̀	ɯ̀̆/ɯ	1	U+026f U+0306 U+0300
?	ʔ	1	U+003f
ɯ̀i̯	ɯ̀i̯/ɯi̯	1	U+026f U+0300 U+0069 U+032f
'you	'you/ʔ j ou	1	U+0027 U+0079 U+006f U+0075
è	è/e	1	U+00e8
ɛ̤	ɛ̤	1	U+025b U+0324
ɨɘ	ɨɘ	1	U+0268 U+0258
ll	lː	1	U+006c U+006c
ụ	ụ/u	1	U+1ee5
ŭ̀	ù̆/u	1	U+016d U+0300
iʰ	i̤	1	U+0069 U+02b0
ʰn	ʰn	1	U+02b0 U+006e
ʌ̣	ʌ̣/ʌ	1	U+028c U+0323
ă̰	ă̰	1	U+0103 U+0330
iːu̯	iːu̯	1	U+0069 U+02d0 U+0075 U+032f
`	ʔ	1	U+0060
áu	áu/au	1	U+00e1 U+0075
ăw	ăw/au	1	U+0103 U+0077
ăs	ă/a s	1	U+0103 U+0073
_̀	+ ʔ	1	U+005f U+0300
bh	bʱ	1	U+0062 U+0068
ɨ̃	ɨ̃	1	U+0268 U+0303
ʝ	ʝ	1	U+029d
ɪːᵊ	ɪːᵊ/ɪːə	1	U+026a U+02d0 U+1d4a
ɒːi̯	ɒːi̯	1	U+0252 U+02d0 U+0069 U+032f
pʰᵊ	p ᵊʰ/ə̤	1	U+0070 U+02b0 U+1d4a
ṳ	ṳ	1	U+1e73
ự	ự/u	1	U+1ef1
_̄	+	1	U+005f U+0304
	+>	1	U+f1f6
'b	ˀb	1	U+0027 U+0062
kᵊs	k ᵊ/ə s	1	U+006b U+1d4a U+0073
rs	r s	1	U+0072 U+0073
ɔ̃	ɔ̃	1	U+0254 U+0303
ɯ̀ː	ɯ̀ː/ɯː	1	U+026f U+0300 U+02d0
â̤ː	â̤ː/a̤ː	1	U+00e2 U+0324 U+02d0
xw	x w	1	U+0078 U+0077
ə̯u	ə̯u/əu̯	1	U+0259 U+032f U+0075
õ	õ	1	U+00f5
˦˥ˀ	⁴⁵ˀ/⁴⁵	1	U+02e6 U+02e5 U+02c0
ạ̌	ạ̌/a	1	U+1ea1 U+030c
ʌ̯	ʌ̯/ʌ	1	U+028c U+032f
aːi̯ʼ	aːi̯ʼ/aːi̯	1	U+0061 U+02d0 U+0069 U+032f U+02bc
ợ	ợ/o	1	U+1ee3
ŭs	ŭ/u s	1	U+016d U+0073
o̰	o̰	1	U+006f U+0330
ử	ử/u	1	U+1eed
ř	ř/r	1	U+0159
uˀ	uˀ/ṳ	1	U+0075 U+02c0
iʳ	iʳ/i	1	U+0069 U+02b3
ɤ̌	ɤ̌	1	U+0264 U+030c
ɤ̆ɯ̯	ɤ̆ɯ̯	1	U+0264 U+0306 U+026f U+032f
i̤	i̤	1	U+0069 U+0324
ʌə	ʌə	1	U+028c U+0259
'oː	oː	1	U+0027 U+006f U+02d0
ɛu	ɛu	1	U+025b U+0075
ɛʲ	ɛʲ/ɛi̯	1	U+025b U+02b2
ɛu̯	ɛu̯	1	U+025b U+0075 U+032f
'g	g	1	U+0027 U+0067
ee	eː	1	U+0065 U+0065
ɛ̻́:	ɛ̻́ː/ɛː	1	U+025b U+033b U+0301 U+003a
gh	gh/gʱ	1	U+0067 U+0068
ə:ɨ	əːɨ	1	U+0259 U+003a U+0268
³³|	³³	1	U+00b3 U+00b3 U+007c
ea	ea	1	U+0065 U+0061
ŏ̀h	ŏ̀h/o	1	U+014f U+0300 U+0068
lᶤ	l ᶤ/ɨ +	1	U+006c U+1da4
pᵊsᵊ	p ᵊ/ə + s ᵊ/ə +	1	U+0070 U+1d4a U+0073 U+1d4a
˧˦˧³²⁴	³⁴³/³²⁴	1	U+02e7 U+02e6 U+02e7 U+00b3 U+00b2 U+2074
ừ	ừ/u	1	U+1eeb
iu̯	iu̯	1	U+0069 U+0075 U+032f
uːʰ	uːʰ/ṳː	1	U+0075 U+02d0 U+02b0
ɒ̰	ɒ̰	1	U+0252 U+0330
ɔ:᷅	ɔː᷅/ɔː	1	U+0254 U+003a U+1dc5
ɔ̻:	ɔ̻ː/ɔː	1	U+0254 U+033b U+003a
ɨe	ɨe	1	U+0268 U+0065
E	NULL	1	U+0045
K	NULL	1	U+004b
cᵊ	c ᵊ/ə +	1	U+0063 U+1d4a
ie̼	i/j e̼/e	1	U+0069 U+0065 U+033c
lw	l w	1	U+006c U+0077
a̻:	a̻ː/aː	1	U+0061 U+033b U+003a
oɔ̀	oɔ̀/oɔ	1	U+006f U+0254 U+0300
ɔ̤	ɔ̤	1	U+0254 U+0324
ǯ	ǯ/dʒ	1	U+01ef
aɯ̯	aɯ̯	1	U+0061 U+026f U+032f
ỉ	ỉ/i	1	U+1ec9
ḭ	ḭ	1	U+1e2d
˦˧ˀ	⁴³ˀ/⁴³	1	U+02e6 U+02e7 U+02c0
é̻	é̻/e	1	U+00e9 U+033b
ậ	ậ/a	1	U+1ead
eʲ	eʲ/ei̯	1	U+0065 U+02b2
ɲʼ	ɲʼ/ɲˀ	1	U+0272 U+02bc
ə̆̀	ə̀̆/ə	1	U+0259 U+0306 U+0300
i̱	i̠/i	1	U+0069 U+0331
ằh	ằh/a	1	U+1eb1 U+0068
oːə	oːə	1	U+006f U+02d0 U+0259
ɜ̆	ɜ̆	1	U+025c U+0306
uᵊ	uᵊ/uə	1	U+0075 U+1d4a
ɛːə	ɛːə	1	U+025b U+02d0 U+0259
ẻ	ẻ/e	1	U+1ebb
ə̀	ə̀/ə	1	U+0259 U+0300
tᵊ	t ᵊ/ə +	1	U+0074 U+1d4a
ɨ̣	ɨ̣/ɨ	1	U+0268 U+0323
ps	p s	1	U+0070 U+0073
uʌ	u/w ʌ	1	U+0075 U+028c
ŭ̀h	ŭ̀h/u	1	U+016d U+0300 U+0068
ɨ̀	ɨ̀/ɨ	1	U+0268 U+0300
ə̻:	ə̻ː/əː	1	U+0259 U+033b U+003a
oi̱	oi̠/oi̯	1	U+006f U+0069 U+0331
uʲ	uʲ/ui̯	1	U+0075 U+02b2
à̤	à̤/a̤	1	U+00e0 U+0324
ɯa	ɯa	1	U+026f U+0061
u̯ʼ	u̯ʼ/u	1	U+0075 U+032f U+02bc
ʌa	ʌa	1	U+028c U+0061
ɑʰ	ɑʰ/a̤	1	U+0251 U+02b0
˧˨˧	³²³	1	U+02e7 U+02e8 U+02e7
rh	rh/rʰ	1	U+0072 U+0068
ễ	ễ/e	1	U+1ec5
Â	Â/a	1	U+00c2
iɛʳʰ	i/j ɛʳʰ/ɛ	1	U+0069 U+025b U+02b3 U+02b0
ĭ̀h	ĭ̀h/i	1	U+012d U+0300 U+0068
ɛ̤̀	ɛ̤̀	1	U+025b U+0324 U+0300
e̤	e̤	1	U+0065 U+0324
ɛ̻ː	ɛ̻ː/ɛː	1	U+025b U+033b U+02d0
ĭ̀	ì̆/i	1	U+012d U+0300
e̻	e̻/e	1	U+0065 U+033b
aːʲ	aːʲ/aːi̯	1	U+0061 U+02d0 U+02b2
ɯɤ̯	ɯɤ̯	1	U+026f U+0264 U+032f
ɤ̆u̯	ɤ̆u̯	1	U+0264 U+0306 U+0075 U+032f
'ə̆	ə̆	1	U+0027 U+0259 U+0306
ả̤	ả̤/a̤	1	U+1ea3 U+0324
pᵊ	p ᵊ/ə +	1	U+0070 U+1d4a
ò̤	ò̤/o̤	1	U+00f2 U+0324
o̤i̯	o̤i̯	1	U+006f U+0324 U+0069 U+032f
aˀ	aˀ/a̤	1	U+0061 U+02c0
uʰ	uʰ/ṳ	1	U+0075 U+02b0
uo̯ʲ	u/w o̯ʲ/oi̯	1	U+0075 U+006f U+032f U+02b2
əá̤	əá̤/əa̤	1	U+0259 U+00e1 U+0324
ɪːʰ	ɪːʰ/i̤ː	1	U+026a U+02d0 U+02b0
’	’/ʔ	1	U+2019
ɛ̉	ɛ̉/ɛ	1	U+025b U+0309
ʔh	ʔh/ʔʰ	1	U+0294 U+0068
kᵊh	k ᵊ/ə + h	1	U+006b U+1d4a U+0068
ɔ́i̯	ɔ́i̯/ɔi̯	1	U+0254 U+0301 U+0069 U+032f
ɔ̻́	ɔ̻́/ɔ	1	U+0254 U+033b U+0301
ɨ̉	ɨ̉/ɨ	1	U+0268 U+0309
ɯ̰̆	ɯ̰̆	1	U+026f U+0330 U+0306
ǀ	ǀ/i	1	U+01c0
ɤɑ	ɤɑ	1	U+0264 U+0251
ɜ:	ɜː	1	U+025c U+003a
əai̯	ə ai̯	1	U+0259 U+0061 U+0069 U+032f
ṵ̃	ṵ̃	1	U+1e75 U+0303
ə̰̂ː	ə̰̂ː/ə̰ː	1	U+0259 U+0330 U+0302 U+02d0
ô̤ː	ô̤ː/o̤ː	1	U+00f4 U+0324 U+02d0
ɯi̯	ɯi̯	1	U+026f U+0069 U+032f
ɔa	ɔa	1	U+0254 U+0061
ue	u/w e	1	U+0075 U+0065
ɔ̤i̯	ɔ̤i̯	1	U+0254 U+0324 U+0069 U+032f
o̯i̯	o̯i̯/oi̯	1	U+006f U+032f U+0069 U+032f
u̯oi̯	u̯/w oi̯	1	U+0075 U+032f U+006f U+0069 U+032f
e̻:	e̻ː/eː	1	U+0065 U+033b U+003a
ɯ̆i̯	ɯ̆i̯	1	U+026f U+0306 U+0069 U+032f
ə̃	ə̃	1	U+0259 U+0303
ɗʑ	ɗʑ/dʑ	1	U+0257 U+0291
əá	əá/əa	1	U+0259 U+00e1
əaɯ̯	ə aɯ̯	1	U+0259 U+0061 U+026f U+032f
às	à/a s	1	U+00e0 U+0073
с	c	1	U+0441
ɤ̤̆i̯	ɤ̤̆i̯/ɤ̤i̯	1	U+0264 U+0324 U+0306 U+0069 U+032f
ʌ̀	ʌ̀/ʌ	1	U+028c U+0300
ɤ̀i̯	ɤ̀i̯/ɤi̯	1	U+0264 U+0300 U+0069 U+032f
ɟh	ɟh/ɟʰ	1	U+025f U+0068
aːə	aːə	1	U+0061 U+02d0 U+0259
aːʳ	aːʳ/aː	1	U+0061 U+02d0 U+02b3
r:	rː	1	U+0072 U+003a
ìː	ìː/iː	1	U+00ec U+02d0
ẩ	<?>	1	U+1ea9
ɒ:	ɒː	1	U+0252 U+003a
‹	NULL	1	U+2039
β	β	1	U+03b2
á:	áː/aː	1	U+00e1 U+003a
rw	r w	1	U+0072 U+0077
