Grapheme	IPA	Frequency	Codepoints
^	NULL		
$	NULL		
k	k	777	U+006b
a	a	714	U+0061
t	t	701	U+0074
l	l	599	U+006c
m	m	570	U+006d
ŋ	ŋ	551	U+014b
n	n	485	U+006e
c	c	337	U+0063
j	j	329	U+006a
ʔ	ʔ	285	U+0294
¹	¹	279	U+00b9
u	u	247	U+0075
s	s	241	U+0073
³	³	230	U+00b3
h	h	199	U+0068
p	p	198	U+0070
i	i	196	U+0069
_	+	164	U+005f
ɔ	ɔ	159	U+0254
aː	aː	159	U+0061 U+02d0
˧	³	156	U+02e7
ɔː	ɔː	138	U+0254 U+02d0
ɲ	ɲ	132	U+0272
²	²	123	U+00b2
o	o	120	U+006f
d	d	120	U+0064
r	r	120	U+0072
b	b	119	U+0062
ə	ə	114	U+0259
ă	ă	112	U+0103
uː	uː	97	U+0075 U+02d0
.	NULL	92	U+002e
ɛ	ɛ	85	U+025b
³³	³³	84	U+00b3 U+00b3
˧˦	³⁴	82	U+02e7 U+02e6
oː	oː	79	U+006f U+02d0
Ɂ	ʔ	72	U+0241
e	e	69	U+0065
⁴	⁴	68	U+2074
g	g	62	U+0067
iː	iː	61	U+0069 U+02d0
⁷	⁷/⁵²	59	U+2077
w	w	56	U+0077
kʰ	kʰ	54	U+006b U+02b0
ɨ	ɨ	52	U+0268
ɤ	ɤ	45	U+0264
³¹	³¹	45	U+00b3 U+00b9
⁸	⁸/⁵³	42	U+2078
˦	⁴	41	U+02e6
kh	kʰ	39	U+006b U+0068
³⁵	³⁵	39	U+00b3 U+2075
³²	³²	36	U+00b3 U+00b2
¹²	¹²	35	U+00b9 U+00b2
ɤ̆	ɤ̆	34	U+0264 U+0306
ʌ	ʌ	33	U+028c
²³	²³	32	U+00b2 U+00b3
tʰ	tʰ	32	U+0074 U+02b0
²²	²²	31	U+00b2 U+00b2
á	á/a	31	U+00e1
ɛː	ɛː	30	U+025b U+02d0
˧˦ˀ	³⁴ˀ/³⁴	29	U+02e7 U+02e6 U+02c0
⁵	⁵	29	U+2075
˧˦˧ˀ	³⁴³ˀ/³⁴³	28	U+02e7 U+02e6 U+02e7 U+02c0
a:	aː	28	U+0061 U+003a
z	z	27	U+007a
⁵⁴	⁵⁴	27	U+2075 U+2074
th	tʰ	26	U+0074 U+0068
ch	cʰ	26	U+0063 U+0068
əː	əː	25	U+0259 U+02d0
ɯ	ɯ	25	U+026f
eː	eː	25	U+0065 U+02d0
ŭ	ŭ	24	U+016d
ó	ó/o	23	U+00f3
ʈ	ʈ	23	U+0288
ɯ̆	ɯ̆	23	U+026f U+0306
ɔ:	ɔː	22	U+0254 U+003a
â	â/a	21	U+00e2
à	à/a	21	U+00e0
³³ˀ	³³ˀ/³³	21	U+00b3 U+00b3 U+02c0
ɒ	ɒ	21	U+0252
ɽ	ɽ	21	U+027d
ə̆	ə̆	20	U+0259 U+0306
³²³	³²³	20	U+00b3 U+00b2 U+00b3
ɑ	ɑ	20	U+0251
u:	uː	19	U+0075 U+003a
ú	ú/u	19	U+00fa
đ	đ/ð	18	U+0111
v	v	17	U+0076
⁴⁶	⁴⁶/⁴⁵	17	U+2074 U+2076
ɔ́	ɔ́/ɔ	17	U+0254 U+0301
í	í/i	17	U+00ed
ɕ	ɕ	17	U+0255
⁴⁴	⁴⁴	16	U+2074 U+2074
⁴³	⁴³	15	U+2074 U+00b3
ɓ	ɓ	15	U+0253
