NUMBER	ENGLISH	LEIPZIG_JAKARTA	SWADESH_100	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	1s/I	14	43	Pronoun	1209	I
2	2s/you	9	87	Pronoun	1215	THOU
3	3s/he/she/it	35		Kinship	262	HE OR SHE OR IT
4	ant	71		animals	587	ANT
5	ashes	84	2	The physical world	646	ASH
6	back of body	47		the body	1291	BACK
7	bark of tree		3	Agriculture and vegetation	1204	BARK
8	belly/stomach		4	The body	2114	BELLY OR STOMACH
9	big/large	32	5	Spatial relations	1202	BIG
10	bird	93	6	Animals	937	BIRD
11	bite (v)	46	7	The body	1403	BITE
12	bitter	28		Sense perception	887	BITTER
13	black	42	8	Sense perception	163	BLACK
14	blood	7	9	The body	946	BLOOD
15	blow (with mouth) (v)	79		Motion	176	BLOW (WITH MOUTH)
16	bone	8	10	The body	1394	BONE
17	breast/udder	12	11	The body	1402	BREAST
18	chest			The body	1592	CHEST
19	child	51		kinship	2099	CHILD
20	burn (intr.)/be alight (v)	55	12	The physical world	1428	BURNING
21	fingernail/claw		13	The body	2128	CLAW OR NAIL
22	cloud		14	The physical world	1489	CLOUD
23	die		17	The body	1494	DIE
24	dog	86	18	Animals	2009	DOG
25	drink (v)	42	19	Food and drink	1401	DRINK
26	dry (as leaf/cloth) (adj)		20	Sense perception	1398	DRY
27	ear	22	21	The body	1247	EAR
28	earth/soil	63	22	The physical world	1228	EARTH (SOIL)
29	eat	75	23	Food and drink	1336	EAT
30	egg	52	24	Food and drink	744	EGG
31	eye	83	25	The body	1248	EYE
32	fall/drop (v)	82		Motion	1280	FALL
33	far/distant	23		Location	1406	FAR
34	fat/grease/oil		26	Food and drink	323	FAT (ORGANIC SUBSTANCE)
35	hair of body/feather		27	The body	2381	FEATHER OR FUR OR HAIR
36	hair of the head	31	37	The body	2648	HAIR (HEAD)
37	fire/firewood	1	28	The physical world	2675	FIRE OR FIREWOOD
38	fish	40	29	Animals	227	FISH
39	flesh/meat	18	30	Food and drink	2615	FLESH OR MEAT
40	fly (v)	20	31	Motion	1441	FLY (MOVE THROUGH AIR)
41	foot/lower leg	37	32	The body	1301	FOOT
42	full (of a container) (v)		33	Quantity	1429	FULL
43	give	53	34	Possession	1447	GIVE
44	good		35	Emotions and values	1035	GOOD
45	green/blue		36	Sense perception	2382	BLUE OR GREEN
46	hand/arm	19	38	The body	2121	ARM OR HAND
47	hard/solid	99		Sense perception	1884	HARD
48	head		39	The body	1256	HEAD
49	hear/listen	62	40	Sense and perception	3862	HEAR OR LISTEN
50	heart		41	The body	1223	HEART
51	heavy	72		Sense perception	1210	HEAVY
52	horn (of deer, not tusk)	38	42	The body	1393	HORN (ANATOMY)
53	house	26		The house	1252	HOUSE
54	in/inside	98		Spatial relations	1606	INSIDE
55	kill (v)		44	The body	1417	KILL
56	knee	59	45	The body	1371	KNEE
57	know (a fact, not a person)	58	46	Cognition	1410	KNOW (SOMETHING)
58	leaf	64	47	Agriculture and vegetation	628	LEAF
59	lie/recline (v)		48	Spatial relations	1411	LIE (REST)
60	liver	66	49	The body	1224	LIVER
61	long (of objects)	78	50	Spatial relations	1203	LONG
62	louse (headlice)		51	Animals	310	HEAD LOUSE
63	louse (bodylice)	16		Animals	311	BODY LOUSE
64	make/do (v)	25		Basic actions and technology	2575	DO OR MAKE
65	moon		54	The physical world	1313	MOON
66	mountain		55	The physical world	639	MOUNTAIN
67	mouth	5	56	The body	674	MOUTH
68	navel/umbilicous	42		the body	1838	NAVEL
69	neck	23	58	The body	1333	NECK
70	new	54	59	Time	1231	NEW
71	night	21	60	Time	1233	NIGHT
72	nose	2	61	The body	1221	NOSE
73	old (of things/objects)	74		Time	2113	OLD (USED)
74	one	33	63	Quantity	1493	ONE
75	path/road		64	Motion	2457	PATH OR ROAD
76	person (or classifier for humans)		65	Kinship	683	PERSON
77	rain	13	66	The physical world	658	RAIN (PRECIPITATION)
78	red	65	67	Sense perception	156	RED
79	root	10	68	Agriculture and vegetation	670	ROOT
80	rope/cord	91		Basic actions and technology	1218	ROPE
81	round		69	Spatial relations	1395	ROUND
82	run (v)	81		Motion	1519	RUN
83	salt	94		Food and drink	1274	SALT
84	sand	60	70	The physical world	671	SAND
85	say/speak/talk (v)	29	71	Speech and language	1623	SPEAK
86	see (v)	89	72	Sense perception	1409	SEE
87	shade/shadow	92		The physical world	1388	SHADE
88	sit (v)		74	Motion	1416	SIT
89	skin	68	75	The body	763	SKIN
90	sleep (v)		76	Motion	1585	SLEEP
91	small	95	77	Spatial relations	1246	SMALL
92	smoke	49	78	The physical world	778	SMOKE (EXHAUST)
93	stand/stand up (intr.) (v)	45	79	Motion	570	STAND UP
94	star	97	80	The physical world	1430	STAR
95	stone	27	81	The physical world	857	STONE
96	sweet	90		Sense perception	717	SWEET
97	suckle/suck on breast for milk (v)	69		Food and drink	2472	SUCKLE (BREASTFEED, NURSE)
98	swim (v)		83	Motion	1439	SWIM
99	tail	85	84	The body	1220	TAIL
100	thick	77		Spatial relations	1244	THICK
101	thigh	76		The body	471	UPPER LEG (THIGH)
102	this (proximal demonstrative)		86	Pronoun	1214	THIS
103	tie/bind (v)	88		Basic actions and technology	1917	TIE
104	tongue	6	88	The body	1205	TONGUE
105	tooth	30	89	The body	1380	TOOTH
106	tree		90	Agricultural and vegetation	906	TREE
107	two		91	Quantity	1498	TWO
108	walk/go by foot (v)	3	92	Motion	1443	WALK
109	warm			Sense perception	1232	WARM
110	water	4	94	The physical world	948	WATER
111	weep/cry (v)	87		Basic actions and technology	1839	CRY
112	what (interrogative)	50	96	Pronoun	1236	WHAT
113	white		97	Sense perception	1335	WHITE
114	who (interrogative)	34	98	Pronoun	1235	WHO
115	wide	96		Spatial relations	1243	WIDE
116	wind/air	48		The physical world	960	WIND
