Grapheme	IPA	Frequency
^	NULL	114
k	k	35
â	â/a	6
n	n	25
$	NULL	114
m	m	23
i	i	3
¹	¹	2
p	p	8
ɛ̰̂ː	ɛ̰̂ː	1
a	a	47
t	t	26
u	u	4
b	b	6
ûː	ûː/uː	6
ɔ̂ː	ɔ̂ː/ɔː	7
ŋ	ŋ	21
kʰ	kʰ	5
ɔ́	ɔ́/ɔ	6
h	h	21
l	l	17
û	û/u	4
Ɂ	ʔ	21
í	í/i	3
c	c	5
j	j	12
â̰ː	â̰ː/aː	5
â̰	â̰/a	3
ɲ	ɲ	6
ṵ̂ː	ṵ̂ː/uː	6
ôː	ôː/o:	3
ə	ə	1
ə́	ə́/ə	2
ɨ̂ː	ɨ̂ː/ɨ:	3
s	s	10
pʰ	pʰ	1
â̤ː	â̤ː/a̤ː	1
ʌ̰̂ː	ʌ̰̂ː/ʌː	3
ɔ̰̂ː	ɔ̰̂ː/ɔː	6
âː	âː/a:	4
á	á/a	6
tʰ	tʰ	3
ɨ̰̂ː	ɨ̰̂ː/ɨː	1
ç	ç	3
ʔ	ʔ	5
ɛ̂	ɛ̂/ɛ	1
îː	îː/iː	6
ʌ̤̀	ʌ̤̀	3
d	d	3
ɛ̂ː	ɛ̂ː/ɛ	2
w	w	1
ɔ̤̂ː	ɔ̤̂ː/ɔ̤ː	2
ú	ú/u	3
à	à/a	1
ɔː	ɔː	1
î	î/i	2
ph	pʰ	1
ʌ̀ː	ʌ̀ː/ʌː	1
kh	kʰ	1
aː	aː	1
ɛ̤̀	ɛ̤̀	1
ɔ̂	ɔ̂/ɔ	1
ɛ́	ɛ́/ɛ	1
âw	âw/au	1
ḭ̂ː	ḭ̂ː/ḭː	1
ɨ̂	ɨ̂/ɨ	1
ô̤ː	ô̤ː/o̤ː	1
ɨː	ɨː	1
ʌ̂ː	ʌ̂ː/ʌː	1
ṵ̂	ṵ̂/ṵ	1
