Grapheme	IPA	Frequency
^	NULL	101
c	c	25
a	a	29
k	k	33
$	NULL	101
p	p	7
əa	əa	3
n	n	8
ə	ə	6
ɲ	ɲ	4
ɨɘ	ɨɘ	1
r	r	16
˧	³	72
b	b	2
u:	uː	4
t	t	24
u	u	14
ɔ	ɔ	4
ŋ	ŋ	24
i	i	8
ɛ	ɛ	3
˩	˩/¹	5
e	e	2
ʔ	ʔ	4
o	o	1
á	á/a	2
ɨ	ɨ	5
m	m	17
s	s	8
o:	oː	4
l	l	16
ɤ	ɤ	1
d	d	4
ɛ:	ɛː	3
rs	r s	1
ɔː	ɔː	4
o̻	o̻/o	4
j	j	20
a:	aː	6
ʰr	ʰr	2
ə:	əː	4
ə̻	ə̻/ə	2
h	h	3
ɛ̻́:	ɛ̻́ː/ɛː	1
oɔ	oɔ	4
ʌ	ʌ	2
ɔ̻	ɔ̻/ɔ	3
ɔ̻:	ɔ̻ː/ɔː	1
o̻:	o̻ː/oː	2
H	H/h	10
a̻:	a̻ː/aː	1
ɨa	ɨa	3
é̻	é̻/e	1
ɛː	ɛː	1
ɔ̻ː	ɔ̻ː/ɔː	3
ui	ui	1
ə̻:	ə̻ː/əː	1
ɛ̻ː	ɛ̻ː/ɛː	1
e̻	e̻/e	1
ɜ	ɜ	2
ɓ	ɓ	2
é	é/e	1
ɔ̻́	ɔ̻́/ɔ	1
ǀ	ǀ/i	1
ou	ou	1
e̻:	e̻ː/eː	1
r:	rː	1
kw	kʷ	1
á:	áː/aː	1
