Grapheme	IPA	Frequency
^	NULL	76
k	k	20
a	a	31
n	n	10
$	NULL	76
m	m	16
ʊː	ʊː	2
ɓ	ɓ	4
uː	uː	7
ɲ	ɲ	3
kʰ	kʰ	3
l	l	18
ɑː	ɑː	11
t	t	13
u	u	2
ŋ	ŋ	14
ʔ	ʔ	34
c	c	8
ɪː	ɪː	2
ɨ	ɨ	2
p	p	3
s	s	7
aː	aː	8
ʝ	ʝ	1
ɪːᵊ	ɪːᵊ/ɪːə	1
pʰᵊ	p ᵊʰ/ə̤	1
kᵊs	k ᵊ/ə s	1
j	j	9
oː	oː	4
pʰ	pʰ	1
ɪ	ɪ	1
i	i	3
ʊ	ʊ	5
jʰ	jʰ	4
iʳ	iʳ/i	1
iː	iː	1
ʌ	ʌ	2
lᶤ	l ᶤ/ɨ +	1
ʌː	ʌː	6
pᵊsᵊ	p ᵊ/ə + s ᵊ/ə +	1
uːʰ	uːʰ/ṳː	1
cᵊ	c ᵊ/ə +	1
ɔː	ɔː	4
kᶤ	k ᶤ/ɨ +	2
əː	əː	1
kᵊ	k ᵊ/ə + 	2
mᵊ	mᵊ	1
ɬ	ɬ	1
tᵊ	t ᵊ/ə +	1
w	w	1
ɑʰ	ɑʰ/a̤	1
pᵊ	p ᵊ/ə +	1
sᵊ	s ᵊ/ə +	2
ɪːʰ	ɪːʰ/i̤ː	1
kᵊh	k ᵊ/ə + h	1
ɛː	ɛː	1
lᵊ	l ᵊ/ə +	1
h	h	1
aːʳ	aːʳ/aː	1
ɗ	ɗ	1
