Grapheme	IPA	Frequency
^	NULL	113
k	k	26
ɯ̆̀	ɯ̀̆/ɯ	1
ʔ	ʔ	13
$	NULL	113
m	m	13
ɯ̀i̯	ɯ̀i̯/ɯi̯	1
u	u	16
n	n	8
ɛa̯	ɛa̯	10
ie̯	ie̯	3
nʼ	nʼ/nˀ	2
ʈ	ʈ	1
ɤ̀ː	ɤ̀ː/ɤː	2
r	r	12
o	o	2
ŋʼ	ŋʼ/ŋˀ	4
a	a	21
ɗ	ɗ	6
ăh	ăh/a	1
'sh	'sh/ˀsʰ	1
e	e	2
ll	lː	1
'	'/ʔ	2
p	p	7
ŭ̀	ù̆/u	1
ŋ	ŋ	17
t	t	24
ɛ̆	ɛ̆	1
h	h	8
i	i	8
tɕ	tɕ	11
iː	iː	4
ă	ă	9
mʼ	mʼ/mˀ	6
ɯ	ɯ	4
tʰ	tʰ	10
iːu̯	iːu̯	1
l	l	21
ʊ	ʊ	1
ɕ	ɕ	2
ɒːi̯	ɒːi̯	1
ə	ə	1
ì	ì/i	7
e̯	e̯/e	3
ɒ	ɒ	5
aː	aː	3
lʼ	lʼ/lˀ	5
n̩	n̩	4
ʑ	ʑ	4
ɯ̀ː	ɯ̀ː/ɯː	1
ɲ	ɲ	5
ə̯u	ə̯u/əu̯	1
kʰ	kʰ	1
oː	oː	1
aːi̯	aːi̯	2
uː	uː	1
ʌ̯	ʌ̯/ʌ	1
ằ	ằ/a	2
ŭh	ŭh/u	3
aːi̯ʼ	aːi̯ʼ/aːi̯	1
ù	ù/u	4
ŭ	ŭ	2
ɒː	ɒː	1
ɛʲ	ɛʲ/ɛi̯	1
ŏ	ŏ	2
³³|	³³	1
a̤	a̤	1
³²	³²	1
't	t	1
s	s	1
ŏ̀h	ŏ̀h/o	1
iu̯	iu̯	1
ĭh	ĭh/i	2
o̯	o̯/o	2
eʲ	eʲ/ei̯	1
ɲʼ	ɲʼ/ɲˀ	1
ɓ	ɓ	3
ằh	ằh/a	1
ŭ̀h	ŭ̀h/u	1
ɔː	ɔː	2
uʲ	uʲ/ui̯	1
c	c	4
ʌ̆̀	ʌ̀̆/ʌ	3
u̯ʼ	u̯ʼ/u	1
ĭ̀h	ĭ̀h/i	1
ĭ̀	ì̆/i	1
ɔ̀ː	ɔ̀ː/ɔː	1
ɒːi̯ʼ	ɒːi̯ʼ/ɒːi̯	2
aːʲ	aːʲ/aːi̯	1
ɯɤ̯	ɯɤ̯	1
ò	ò/o	2
i̯	i̯/i	1
uo̯ʲ	u/w o̯ʲ/oi̯	1
ʌ̆	ʌ̆	2
ɯ̆	ɯ̆	2
o̯i̯	o̯i̯/oi̯	1
u̯	u̯/u	2
ɯ̆i̯	ɯ̆i̯	1
ɗʑ	ɗʑ/dʑ	1
ìː	ìː/iː	1
ɯ̀	ɯ̀/ɯ	1
