Grapheme	IPA	Frequency
^	NULL	88
a	a	20
h	h	7
o	o	2
$	NULL	88
m	m	15
i	i	9
t	t	26
p	p	9
ɛʰ	ɛ̤	1
k	k	35
u	u	23
l	l	32
ɔ́	ɔ́/ɔ	3
d	d	5
ɯ́	ɯ́/ɯ	2
é	é/e	3
ʔ	ʔ	3
ó	ó/o	7
á	á/a	7
ŋ	ŋ	16
³	³	1
ɛ	ɛ	4
n	n	5
ʃ	ʃ	8
à	à/a	3
c	c	14
ɤ́	ɤ́/ɤ	1
ɯ	ɯ	5
ǎ	ǎ/a	6
ú	ú/u	4
kh	kʰ	1
s	s	1
ay	ay/ai	1
ǎ́	á/a	2
ɤ̀	ɤ̀/ɤ	2
ɔ	ɔ	2
ie	i/j e	3
ɤ̌	ɤ̌	1
b	b	2
ɤ	ɤ	2
i̯	i̯/i	2
ɔi̯	ɔi̯	1
í	í/i	2
ǎ̀	à/a	1
ɔ̀	ɔ̀/ɔ	3
z	z	1
əa	əa	2
ò	ò/o	2
ɤ́i̯	ɤ́i̯/ɤi̯	1
ɲ	ɲ	3
ə	ə	2
ɯ̀	ɯ̀/ɯ	1
ʒ	ʒ	3
ɛ́	ɛ́/ɛ	1
ɔ́i̯	ɔ́i̯/ɔi̯	1
ɯi̯	ɯi̯	1
eː	eː	1
¹	¹	1
əá	əá/əa	1
ɤ̀i̯	ɤ̀i̯/ɤi̯	1
ái	ái/ai	1
v	v	1
e	e	1
