Grapheme	IPA	Frequency
*	NULL	
ŋ	ŋ
kʰ	kʰ
k	k
p	p
pʰ	pʰ
t	t
tʰ	tʰ
ɗ	ɗ
ɓ	ɓ
>ɟaːŋ	NULL
ɲ	ɲ
^	NULL	116
t	t	23
ao	ao	2
$	NULL	116
m	m	18
à	à/a	6
y	y	9
n	n	44
ó	ó/o	10
k	k	1
i	i	23
ế	ế/e	4
ɟ	ɟ	
tʃ	tʃ
dʒ	dʒ
b	b
d	d
g	g
ʔ	ʔ
aː	aː
oː	oː
uː	uː
iː	iː
a	a
e	e
i	i
o	o
u	u
ɛ	ɛ
ɛː	ɛː
ə	ə
əː	əː
j	j
r	r	13
o	o	4
l	l	7
ư	ư/u	7
g	g	30
v	v	2
ỏ	ỏ/o	3
b	b	6
ụ	ụ/u	1
ớ	ớ/o	3
ch	cʰ	9
c	c	12
ǎ́	á/a	2
đ	đ/ð	13
ắ	ắ/a	1
e	e	2
áu	áu/au	1
th	tʰ	3
ổ	ổ/o	2
x	x	3
ơ	ơ/o	3
ú	ú/u	2
ự	ự/u	1
áy	áy/ai	1
â	â/a	3
u	u	5
ố	ó/o	5
kh	kʰ	3
ô	ô/o	3
ai	ai	3
ấ	ấ/a	4
ǎ	ǎ/a	3
ứ	ứ/u	3
ạ̌	ạ̌/a	1
a	a	6
ỡ	ỡ/õ	2
ử	ử/u	1
á	á/a	4
ị	ị/i	1
ay	ay/ai	2
ầ	ầ/a	3
nh	nh/nʰ	3
gh	gh/gʱ	1
ặ	ặ/a	1
s	s	2
ừ	ừ/u	1
ǎ̀	à/a	1
d	d	4
ậ	ậ/a	1
úi	úi/ui	1
ệ	ệ/e	1
ê	ê/e	1
ũi	ũi	1
ũ	ũ	1
ộ	ộ/o	2
ờ	ờ/o	2
ễ	ễ/e	1
ạ	ạ/a	2
ò	ò/o	1
ồ	ồ/o	1
ủ	ủ/u	1
ọ	ọ/o	1
ù	ù/u	1
с	c	1
h	h	1
ì	ì/i	1
(	NULL
)	NULL
_	+
_$	NULL
^_	NULL
ɔ	ɔ
ɔː	ɔː
>kʰlaːʔ	NULL
kc	k c
eː	eː
>kʰɔːjʔ	NULL
