Grapheme	IPA	Frequency
^	NULL	114
h	h	9
o	o	4
$	NULL	114
m	m	18
i	i	9
ắ	ắ/a	3
n	n	17
k	k	35
ẹ	ẹ/e	1
t	t	30
ă	ă	10
p	p	8
ɛ	ɛ	4
u	u	10
ó	ó/o	1
l	l	26
d	d	7
kᵊ	k ᵊ/ə + 	4
ʌ	ʌ	2
j	j	22
ə	ə	4
mᵊ	mᵊ	2
à	à/a	4
ĭ	ĭ	2
c	c	17
ʌ̣	ʌ̣/ʌ	1
ǎ͗	ǎ͗/a	3
ŋ	ŋ	23
ăs	ă/a s	1
ả	ả/a	2
tʰ	tʰ	1
uː	uː	1
s	s	6
ɔ̣	ɔ̣/ɔ	2
a	a	17
ɔ	ɔ	3
ə̆	ə̆	8
í	í/i	4
ɔ̉	ɔ̉/ɔ	2
ɲ	ɲ	4
ủ	ủ/u	2
kʰ	kʰ	1
b	b	5
ə́	ə́/ə	3
ʔ	ʔ	4
ú	ú/u	4
ʌ̆́	ʌ́̆/ʌ	3
á	á/a	5
ù	ù/u	2
ŭs	ŭ/u s	1
ř	ř/r	1
ị	ị/i	1
ʌə	ʌə	1
ks	k s	1
ŭ	ŭ	9
ò	ò/o	3
r	r	4
ɨ	ɨ	5
lᵊ	l ᵊ/ə +	3
ɔ̀	ɔ̀/ɔ	2
ə̆̀	ə̀̆/ə	1
v	v	1
i̱	i̠/i	1
ɨ́	ɨ́/ɨ	2
uᵊ	uᵊ/uə	1
ẻ	ẻ/e	1
ə̀	ə̀/ə	1
ɨ̣	ɨ̣/ɨ	1
uʌ	u/w ʌ	1
ɨ̀	ɨ̀/ɨ	1
oi̱	oi̠/oi̯	1
ʌa	ʌa	1
iɛʳʰ	i/j ɛʳʰ/ɛ	1
ạ	ạ/a	2
ɔ́	ɔ́/ɔ	4
ỏ	ỏ/o	1
ɛ̉	ɛ̉/ɛ	1
ăh	ăh/a	1
ɨ̉	ɨ̉/ɨ	1
é	é/e	1
às	à/a s	1
ʒ	ʒ	1
ọ	ọ/o	1
