Grapheme	IPA	Frequency
^	NULL	104
ʔ	ʔ	11
e	e	3
ŋ	ŋ	18
$	NULL	104
c	c	11
ă	ă	9
k	k	36
h	h	10
n	n	12
˧˦˧ˀ	³⁴³ˀ/³⁴³	28
ḛ	ḛ	2
b	b	2
u	u	5
ɳ	ɳ	8
˧	³	31
t	t	20
a	a	46
ɒ	ɒ	4
kh	kʰ	5
l	l	28
˧˦	³⁴	25
ɬ	ɬ	4
ɔ̰	ɔ̰	6
ĭ	ĭ	3
ă̰	ă̰	1
ɯ̆	ɯ̆	2
m	m	19
s	s	14
ɤ	ɤ	5
p	p	5
ṵ	ṵ	4
ɤ̆	ɤ̆	3
d	d	5
ɛ	ɛ	6
õ	õ	1
ɔ	ɔ	7
j	j	7
˦	⁴	6
ǎ	ǎ/a	1
a̤	a̤	1
o̰	o̰	1
ɤ̰	ɤ̰	2
ui	ui	1
a̰	a̰	2
i	i	6
ɛː	ɛː	1
w	w	1
³²⁴	³²⁴	12
ɪ	ɪ	3
't	t	1
o	o	5
ea	ea	1
r	r	2
'	'/ʔ	1
ɒ̆	ɒ̆	2
˧˦˧³²⁴	³⁴³/³²⁴	1
ɒ̰	ɒ̰	1
ŭ	ŭ	1
lw	l w	1
z	z	3
ḭ	ḭ	1
˦˧ˀ	⁴³ˀ/⁴³	1
th	tʰ	2
ph	pʰ	1
ŏ	ŏ	4
ɜ̆	ɜ̆	1
ə	ə	2
jh	jh/dʒʰ	1
ɯ	ɯ	1
ɯ̰̆	ɯ̰̆	1
ṵ̃	ṵ̃	1
ʌ	ʌ	1
v	v	1
