Grapheme	IPA	Frequency
^	NULL	88
a	a	27
h	h	8
o	o	11
˦	⁴	30
$	NULL	88
m	m	13
ɤi̯	ɤi̯	6
˧˨	³²	12
t	t	25
p	p	6
ɛʰ	ɛ̤	1
k	k	30
u	u	15
˧˦ˀ	³⁴ˀ/³⁴	7
b	b	3
ɔ	ɔ	7
d	d	5
ɯ	ɯ	5
l	l	20
iʰ	i̤	1
˧˦	³⁴	32
ʔ	ʔ	4
ŋ	ŋ	16
ɛ	ɛ	4
n	n	8
s	s	3
ɲ	ɲ	4
˦˧	⁴³	3
ṳ	ṳ	1
c	c	12
ɤ́	ɤ́/ɤ	1
ɕ	ɕ	2
ă	ă	6
e	e	4
ɽ	ɽ	5
uo	u/w o	1
ʂ	ʂ	3
ai̯	ai̯	2
ɤ	ɤ	3
˧˨ˀ	³²ˀ/³²	2
ŏ	ŏ	1
uˀ	uˀ/ṳ	1
ʰl	ʰl	1
ie	i/j e	1
ɤ̆ɯ̯	ɤ̆ɯ̯	1
i̤	i̤	1
ə	ə	4
˧	³	1
tʰ	tʰ	1
ɔ̆	ɔ̆	1
ɔi̯	ɔi̯	2
ʄ	ʄ	2
i	i	5
ɤ̆	ɤ̆	1
aɯ̯	aɯ̯	1
ɤ̆i̯	ɤ̆i̯	1
ou	ou	1
ui	ui	1
ɯa	ɯa	1
˧˨˧	³²³	1
e̤	e̤	1
aˀ	aˀ/a̤	1
uʰ	uʰ/ṳ	1
ɯ̆	ɯ̆	1
u̯oi̯	u̯/w oi̯	1
eː	eː	1
¹	¹	1
əaɯ̯	ə aɯ̯	1
ɤi	ɤi	1
β	β	1
