Grapheme	IPA	Frequency
^	NULL	104
h	h	6
o	o	2
$	NULL	104
m	m	20
i	i	4
k	k	30
è	è/e	1
ɛ	ɛ	2
⁴	⁴	7
n	n	10
uː	uː	10
l	l	24
u	u	13
d	d	5
ə	ə	20
¹	¹	19
c	c	14
iː	iː	7
ɐ̀	ɐ̀/ɐ	2
t	t	27
a	a	15
ŋ	ŋ	23
³	³	21
s	s	9
aː	aː	12
tʰ	tʰ	2
lʰ	lʰ	5
²	²	12
ɔː	ɔː	10
j	j	11
ó	ó/o	3
oː	oː	4
⁷	⁷/⁵²	8
ɲ	ɲ	3
kh	kʰ	1
b	b	6
ɤ́	ɤ́/ɤ	2
ʔ	ʔ	6
ǎ̀	à/a	1
ə̆	ə̆	1
à	à/a	2
⁸	⁸/⁵³	6
r	r	3
p	p	6
ǎ	ǎ/a	3
e	e	1
ò	ò/o	1
ʈ	ʈ	2
í	í/i	2
oɔ̀	oɔ̀/oɔ	1
ǯ	ǯ/dʒ	1
ǎ́	á/a	1
ú	ú/u	2
i:	iː	1
ɤ́i̯	ɤ́i̯/ɤi̯	1
ʊː	ʊː	1
ɯ	ɯ	1
à̤	à̤/a̤	1
ə̀a	ə̀a/əa	3
⁶	⁶/⁵¹	2
iɛ	i/j ɛ	1
ʒ	ʒ	1
ả̤	ả̤/a̤	1
ò̤	ò̤/o̤	1
i̯	i̯/i	1
əá̤	əá̤/əa̤	1
’	’/ʔ	1
ɨ	ɨ	1
ɤi̯	ɤi̯	1
ue	u/w e	1
á	á/a	1
ɛ́	ɛ́/ɛ	1
